Feature,Importance
euribor3m,0.13899257322529618
age,0.1057109633903439
nr.employed,0.0975624364637423
emp.var.rate,0.07136891946104541
campaign,0.059397545444390014
education,0.04817702889363042
cons.conf.idx,0.04427130343562365
cons.price.idx,0.03358109142956864
previous_contact,0.02725324440393973
poutcome_success,0.021759228000732635
contact_telephone,0.017299559638799693
month_may,0.01608788949937633
previous,0.015911082447482485
contact_cellular,0.013936491533887494
job_blue-collar,0.013913632292441781
marital_married,0.013857809450797641
day_of_week_mon,0.013423423609731814
job_admin.,0.013326357924372947
housing_yes,0.013179087610447643
housing_no,0.013161691282404379
marital_single,0.01282353014977614
day_of_week_fri,0.012705093216134593
day_of_week_wed,0.012556116901014764
day_of_week_thu,0.012368923870232001
job_technician,0.011888767159314247
loan_yes,0.011707227873183852
day_of_week_tue,0.01145602863280614
loan_no,0.011435309138179623
poutcome_nonexistent,0.01051510895580571
job_services,0.010192133951512281
marital_divorced,0.009884337981682046
job_management,0.009242565129149179
month_oct,0.0070692452002483605
job_entrepreneur,0.006990403378669671
poutcome_failure,0.006883565083440633
job_retired,0.006833319798390871
job_self-employed,0.006635600703534879
job_housemaid,0.00513502631157262
month_apr,0.005038164919660594
job_student,0.004991265531604675
job_unemployed,0.004519218540831068
month_mar,0.0038160099300522175
month_jul,0.002966181075153428
month_jun,0.002958630215350383
month_aug,0.0028693161542113566
month_nov,0.0023076133181487856
month_sep,0.0016518095782064467
month_dec,0.00038812786407846486
